Pkey,Year,Quarter,Year ending,Main accommodation used,Total visitors
1,1997,4,YEDec 1997,  A house you own,
2,1997,4,YEDec 1997,  Another place where you pay to park a caravan or campervan / motorhome overnight,
3,1997,4,YEDec 1997,  Backpackers,101383
4,1997,4,YEDec 1997,  Bed and Breakfast,
5,1997,4,YEDec 1997,  Camping at a National Park / Department of Conservation camping ground,
6,1997,4,YEDec 1997,  Farm-stay or Home-stay,25913
7,1997,4,YEDec 1997,"  Free camping - staying at a place that is NOT an official camp site, in a tent, caravan, campervan / motorhome",3895
8,1997,4,YEDec 1997,  Hotel,557224
9,1997,4,YEDec 1997,  House / flat that you paid some rent for,11296
10,1997,4,YEDec 1997,  In a hut at a National Park / Department of Conservation area,5734
11,1997,4,YEDec 1997,"  Luxury Accommodation, 5-star Hotel, Luxury Lodge",14783
12,1997,4,YEDec 1997,  Marae,
13,1997,4,YEDec 1997,"  Motel, Motor Inn or Serviced Apartment",206533
14,1997,4,YEDec 1997,  NOT SURE,18392
15,1997,4,YEDec 1997,"  Other camping ground / holiday park (where you can stay in a tent, cabin, caravan, or campervan / motorhome)",55791
16,1997,4,YEDec 1997,  Other,
17,1997,4,YEDec 1997,  Private Hotel / Guesthouse,
18,1997,4,YEDec 1997,  Staying with family or friends,321608
19,1997,4,YEDec 1997,  Student residence,12850
20,1997,4,YEDec 1997,  Unknown,
21,1997,4,YEDec 1997,  Yacht or other boat,8771
22,1997,4,YEDec 1997,"  Youth Hostel, YMCA, YWCA",
23,1998,4,YEDec 1998,  A house you own,
24,1998,4,YEDec 1998,  Another place where you pay to park a caravan or campervan / motorhome overnight,
25,1998,4,YEDec 1998,  Backpackers,97687
26,1998,4,YEDec 1998,  Bed and Breakfast,
27,1998,4,YEDec 1998,  Camping at a National Park / Department of Conservation camping ground,
28,1998,4,YEDec 1998,  Farm-stay or Home-stay,31994
29,1998,4,YEDec 1998,"  Free camping - staying at a place that is NOT an official camp site, in a tent, caravan, campervan / motorhome",1561
30,1998,4,YEDec 1998,  Hotel,542584
31,1998,4,YEDec 1998,  House / flat that you paid some rent for,9981
32,1998,4,YEDec 1998,  In a hut at a National Park / Department of Conservation area,5145
33,1998,4,YEDec 1998,"  Luxury Accommodation, 5-star Hotel, Luxury Lodge",11582
34,1998,4,YEDec 1998,  Marae,
35,1998,4,YEDec 1998,"  Motel, Motor Inn or Serviced Apartment",207739
36,1998,4,YEDec 1998,  NOT SURE,19376
37,1998,4,YEDec 1998,"  Other camping ground / holiday park (where you can stay in a tent, cabin, caravan, or campervan / motorhome)",60666
38,1998,4,YEDec 1998,  Other,
39,1998,4,YEDec 1998,  Private Hotel / Guesthouse,
40,1998,4,YEDec 1998,  Staying with family or friends,316815
41,1998,4,YEDec 1998,  Student residence,10548
42,1998,4,YEDec 1998,  Unknown,
43,1998,4,YEDec 1998,  Yacht or other boat,5824
44,1998,4,YEDec 1998,"  Youth Hostel, YMCA, YWCA",
45,1999,4,YEDec 1999,  A house you own,
46,1999,4,YEDec 1999,  Another place where you pay to park a caravan or campervan / motorhome overnight,
47,1999,4,YEDec 1999,  Backpackers,93546
48,1999,4,YEDec 1999,  Bed and Breakfast,
49,1999,4,YEDec 1999,  Camping at a National Park / Department of Conservation camping ground,
50,1999,4,YEDec 1999,  Farm-stay or Home-stay,42451
51,1999,4,YEDec 1999,"  Free camping - staying at a place that is NOT an official camp site, in a tent, caravan, campervan / motorhome",7323
52,1999,4,YEDec 1999,  Hotel,610444
53,1999,4,YEDec 1999,  House / flat that you paid some rent for,10461
54,1999,4,YEDec 1999,  In a hut at a National Park / Department of Conservation area,5091
55,1999,4,YEDec 1999,"  Luxury Accommodation, 5-star Hotel, Luxury Lodge",13121
56,1999,4,YEDec 1999,  Marae,
57,1999,4,YEDec 1999,"  Motel, Motor Inn or Serviced Apartment",184915
58,1999,4,YEDec 1999,  NOT SURE,14648
59,1999,4,YEDec 1999,"  Other camping ground / holiday park (where you can stay in a tent, cabin, caravan, or campervan / motorhome)",63053
60,1999,4,YEDec 1999,  Other,
61,1999,4,YEDec 1999,  Private Hotel / Guesthouse,
62,1999,4,YEDec 1999,  Staying with family or friends,343586
63,1999,4,YEDec 1999,  Student residence,17871
64,1999,4,YEDec 1999,  Unknown,
65,1999,4,YEDec 1999,  Yacht or other boat,13663
66,1999,4,YEDec 1999,"  Youth Hostel, YMCA, YWCA",
67,2000,4,YEDec 2000,  A house you own,
68,2000,4,YEDec 2000,  Another place where you pay to park a caravan or campervan / motorhome overnight,
69,2000,4,YEDec 2000,  Backpackers,109830
70,2000,4,YEDec 2000,  Bed and Breakfast,
71,2000,4,YEDec 2000,  Camping at a National Park / Department of Conservation camping ground,
72,2000,4,YEDec 2000,  Farm-stay or Home-stay,45096
