Pkey,Year,Quarter,Year ending,Airport of departure,Purpose of visit,Age band,Total visitor spend,Total visitors
1,1997,4,YEDec 1997,Auckland,Business,20 - 24,6588341.03,2394
2,1997,4,YEDec 1997,Auckland,Business,25 - 29,43273730.7,12683
3,1997,4,YEDec 1997,Auckland,Business,30 - 34,38818037.47,20323
4,1997,4,YEDec 1997,Auckland,Business,35 - 39,49770076.13,25022
5,1997,4,YEDec 1997,Auckland,Business,40 - 44,70962337.03,25747
6,1997,4,YEDec 1997,Auckland,Business,45 - 49,46278192.59,20003
7,1997,4,YEDec 1997,Auckland,Business,50 - 54,42116955.1,17697
8,1997,4,YEDec 1997,Auckland,Business,55 - 59,21797778.85,7575
9,1997,4,YEDec 1997,Auckland,Business,60 - 64,7908413.22,4112
10,1997,4,YEDec 1997,Auckland,Business,65 - 69,3676030.3,2247
11,1997,4,YEDec 1997,Auckland,Business,70 - 74,,
12,1997,4,YEDec 1997,Auckland,Business,75 or older,,
13,1997,4,YEDec 1997,Auckland,Business,Rather not say,,
14,1997,4,YEDec 1997,Auckland,Business,Under 20,22220.38,327
15,1997,4,YEDec 1997,Auckland,Holiday / vacation,20 - 24,201865247.5,71869
16,1997,4,YEDec 1997,Auckland,Holiday / vacation,25 - 29,272972568.5,96639
17,1997,4,YEDec 1997,Auckland,Holiday / vacation,30 - 34,187262281.9,67241
18,1997,4,YEDec 1997,Auckland,Holiday / vacation,35 - 39,153215782.4,49170
19,1997,4,YEDec 1997,Auckland,Holiday / vacation,40 - 44,129920894.4,42389
20,1997,4,YEDec 1997,Auckland,Holiday / vacation,45 - 49,129442354,46991
21,1997,4,YEDec 1997,Auckland,Holiday / vacation,50 - 54,173535443.8,55335
22,1997,4,YEDec 1997,Auckland,Holiday / vacation,55 - 59,160154495.4,52820
23,1997,4,YEDec 1997,Auckland,Holiday / vacation,60 - 64,227512443.7,64468
24,1997,4,YEDec 1997,Auckland,Holiday / vacation,65 - 69,194540864,57133
25,1997,4,YEDec 1997,Auckland,Holiday / vacation,70 - 74,,
26,1997,4,YEDec 1997,Auckland,Holiday / vacation,75 or older,,
27,1997,4,YEDec 1997,Auckland,Holiday / vacation,Rather not say,7551473.91,2355
28,1997,4,YEDec 1997,Auckland,Holiday / vacation,Under 20,40315161.52,15087
29,1997,4,YEDec 1997,Auckland,Other,20 - 24,29117781.69,7381
30,1997,4,YEDec 1997,Auckland,Other,25 - 29,24766920.03,7343
31,1997,4,YEDec 1997,Auckland,Other,30 - 34,6418940.84,4284
32,1997,4,YEDec 1997,Auckland,Other,35 - 39,17284067.39,7304
33,1997,4,YEDec 1997,Auckland,Other,40 - 44,36968572.97,7965
34,1997,4,YEDec 1997,Auckland,Other,45 - 49,12324336.45,7279
35,1997,4,YEDec 1997,Auckland,Other,50 - 54,14533137.16,5169
36,1997,4,YEDec 1997,Auckland,Other,55 - 59,5226742.53,2546
37,1997,4,YEDec 1997,Auckland,Other,60 - 64,1495382.62,1229
38,1997,4,YEDec 1997,Auckland,Other,65 - 69,903846.47,521
39,1997,4,YEDec 1997,Auckland,Other,70 - 74,,
40,1997,4,YEDec 1997,Auckland,Other,75 or older,,
41,1997,4,YEDec 1997,Auckland,Other,Rather not say,1355221.36,452
42,1997,4,YEDec 1997,Auckland,Other,Under 20,39453589.58,11555
43,1997,4,YEDec 1997,Auckland,Visiting friends / relatives,20 - 24,34905383.32,14905
44,1997,4,YEDec 1997,Auckland,Visiting friends / relatives,25 - 29,39537717.27,19221
45,1997,4,YEDec 1997,Auckland,Visiting friends / relatives,30 - 34,47614063.16,21878
46,1997,4,YEDec 1997,Auckland,Visiting friends / relatives,35 - 39,80878462.75,21812
47,1997,4,YEDec 1997,Auckland,Visiting friends / relatives,40 - 44,94403949.9,17761
48,1997,4,YEDec 1997,Auckland,Visiting friends / relatives,45 - 49,53504693.62,17229
49,1997,4,YEDec 1997,Auckland,Visiting friends / relatives,50 - 54,60714942.54,20236
50,1997,4,YEDec 1997,Auckland,Visiting friends / relatives,55 - 59,48626527.16,15416
51,1997,4,YEDec 1997,Auckland,Visiting friends / relatives,60 - 64,50581043.07,18973
52,1997,4,YEDec 1997,Auckland,Visiting friends / relatives,65 - 69,94377344.25,25697
53,1997,4,YEDec 1997,Auckland,Visiting friends / relatives,70 - 74,,
54,1997,4,YEDec 1997,Auckland,Visiting friends / relatives,75 or older,,
55,1997,4,YEDec 1997,Auckland,Visiting friends / relatives,Rather not say,3364259.68,1086
56,1997,4,YEDec 1997,Auckland,Visiting friends / relatives,Under 20,15912285.01,7868
57,1997,4,YEDec 1997,Christchurch,Business,20 - 24,798647.19,488
58,1997,4,YEDec 1997,Christchurch,Business,25 - 29,6673654.41,2766
59,1997,4,YEDec 1997,Christchurch,Business,30 - 34,3942966.94,2094
60,1997,4,YEDec 1997,Christchurch,Business,35 - 39,3066309.67,2917
61,1997,4,YEDec 1997,Christchurch,Business,40 - 44,5784603.47,3465
62,1997,4,YEDec 1997,Christchurch,Business,45 - 49,6963817,3334
63,1997,4,YEDec 1997,Christchurch,Business,50 - 54,5152279.02,1019
64,1997,4,YEDec 1997,Christchurch,Business,55 - 59,1114279.44,807
65,1997,4,YEDec 1997,Christchurch,Business,60 - 64,890545.02,649
66,1997,4,YEDec 1997,Christchurch,Business,65 - 69,1771944.49,922
67,1997,4,YEDec 1997,Christchurch,Business,70 - 74,,
68,1997,4,YEDec 1997,Christchurch,Business,75 or older,,
69,1997,4,YEDec 1997,Christchurch,Business,Rather not say,,
70,1997,4,YEDec 1997,Christchurch,Business,Under 20,,
71,1997,4,YEDec 1997,Christchurch,Holiday / vacation,20 - 24,62377786.43,23556
72,1997,4,YEDec 1997,Christchurch,Holiday / vacation,25 - 29,86862372.97,31622
73,1997,4,YEDec 1997,Christchurch,Holiday / vacation,30 - 34,56072892.86,20595
74,1997,4,YEDec 1997,Christchurch,Holiday / vacation,35 - 39,42644672.72,13186
75,1997,4,YEDec 1997,Christchurch,Holiday / vacation,40 - 44,47935744.1,15301
76,1997,4,YEDec 1997,Christchurch,Holiday / vacation,45 - 49,42506495.74,15908
77,1997,4,YEDec 1997,Christchurch,Holiday / vacation,50 - 54,53505606.93,16877
78,1997,4,YEDec 1997,Christchurch,Holiday / vacation,55 - 59,39520422.47,13909
79,1997,4,YEDec 1997,Christchurch,Holiday / vacation,60 - 64,49815751.51,13685
80,1997,4,YEDec 1997,Christchurch,Holiday / vacation,65 - 69,71888675.4,22491
81,1997,4,YEDec 1997,Christchurch,Holiday / vacation,70 - 74,,
82,1997,4,YEDec 1997,Christchurch,Holiday / vacation,75 or older,,
83,1997,4,YEDec 1997,Christchurch,Holiday / vacation,Rather not say,1131236.82,540
84,1997,4,YEDec 1997,Christchurch,Holiday / vacation,Under 20,10098304.6,4679
85,1997,4,YEDec 1997,Christchurch,Other,20 - 24,2703730.2,1999
86,1997,4,YEDec 1997,Christchurch,Other,25 - 29,4074970.38,1280
87,1997,4,YEDec 1997,Christchurch,Other,30 - 34,2216607.63,697
88,1997,4,YEDec 1997,Christchurch,Other,35 - 39,1433592.46,1883
89,1997,4,YEDec 1997,Christchurch,Other,40 - 44,2390808.67,1556
90,1997,4,YEDec 1997,Christchurch,Other,45 - 49,2408195.73,1457
91,1997,4,YEDec 1997,Christchurch,Other,50 - 54,2275508.99,914
92,1997,4,YEDec 1997,Christchurch,Other,55 - 59,2146892.72,467
93,1997,4,YEDec 1997,Christchurch,Other,60 - 64,,
94,1997,4,YEDec 1997,Christchurch,Other,65 - 69,2510308,515
95,1997,4,YEDec 1997,Christchurch,Other,70 - 74,,
96,1997,4,YEDec 1997,Christchurch,Other,75 or older,,
97,1997,4,YEDec 1997,Christchurch,Other,Rather not say,,
98,1997,4,YEDec 1997,Christchurch,Other,Under 20,3354151.72,1597
99,1997,4,YEDec 1997,Christchurch,Visiting friends / relatives,20 - 24,2197531.88,1506
100,1997,4,YEDec 1997,Christchurch,Visiting friends / relatives,25 - 29,2485775.33,1673
101,1997,4,YEDec 1997,Christchurch,Visiting friends / relatives,30 - 34,8896868.77,3094
102,1997,4,YEDec 1997,Christchurch,Visiting friends / relatives,35 - 39,6493944.34,2891
103,1997,4,YEDec 1997,Christchurch,Visiting friends / relatives,40 - 44,5784939.95,2616
104,1997,4,YEDec 1997,Christchurch,Visiting friends / relatives,45 - 49,10421806.58,3077
105,1997,4,YEDec 1997,Christchurch,Visiting friends / relatives,50 - 54,14414294.21,5105
106,1997,4,YEDec 1997,Christchurch,Visiting friends / relatives,55 - 59,6588034.41,834
107,1997,4,YEDec 1997,Christchurch,Visiting friends / relatives,60 - 64,5823891.53,1832
108,1997,4,YEDec 1997,Christchurch,Visiting friends / relatives,65 - 69,9141700.4,3589
109,1997,4,YEDec 1997,Christchurch,Visiting friends / relatives,70 - 74,,
110,1997,4,YEDec 1997,Christchurch,Visiting friends / relatives,75 or older,,
111,1997,4,YEDec 1997,Christchurch,Visiting friends / relatives,Rather not say,2738784.72,601
112,1997,4,YEDec 1997,Christchurch,Visiting friends / relatives,Under 20,303649.69,98
113,1997,4,YEDec 1997,Queenstown,Business,20 - 24,,
114,1997,4,YEDec 1997,Queenstown,Business,25 - 29,,
115,1997,4,YEDec 1997,Queenstown,Business,30 - 34,,
116,1997,4,YEDec 1997,Queenstown,Business,35 - 39,,
117,1997,4,YEDec 1997,Queenstown,Business,40 - 44,,
118,1997,4,YEDec 1997,Queenstown,Business,45 - 49,,
119,1997,4,YEDec 1997,Queenstown,Business,50 - 54,,
