Pkey,Year,Quarter,Year ending,Airport of departure,Purpose of visit,Country of permanent residence,Total visitor spend,Total visitors
1,1997,4,YEDec 1997,Auckland,Business,Africa and Middle East,4266524.07,1684
2,1997,4,YEDec 1997,Auckland,Business,Australia,132588505.8,67277
3,1997,4,YEDec 1997,Auckland,Business,Canada,15589694.21,3596
4,1997,4,YEDec 1997,Auckland,Business,China,9490117.52,4510
5,1997,4,YEDec 1997,Auckland,Business,Germany,5481105.51,1889
6,1997,4,YEDec 1997,Auckland,Business,Japan,35569643.14,8381
7,1997,4,YEDec 1997,Auckland,Business,"Korea, Republic of",6247531.69,3519
8,1997,4,YEDec 1997,Auckland,Business,Rest of Americas,191980.36,424
9,1997,4,YEDec 1997,Auckland,Business,Rest of Asia,24543230.4,9194
10,1997,4,YEDec 1997,Auckland,Business,Rest of Europe,17934797.3,6677
11,1997,4,YEDec 1997,Auckland,Business,Rest of Oceania,12015457.76,5959
12,1997,4,YEDec 1997,Auckland,Business,UK,22807616.65,8460
13,1997,4,YEDec 1997,Auckland,Business,USA,44485908.35,16559
14,1997,4,YEDec 1997,Auckland,Holiday / vacation,Africa and Middle East,52923940,16699
15,1997,4,YEDec 1997,Auckland,Holiday / vacation,Australia,180850204,84411
16,1997,4,YEDec 1997,Auckland,Holiday / vacation,Canada,30900263.03,12306
17,1997,4,YEDec 1997,Auckland,Holiday / vacation,China,10755757.62,4331
18,1997,4,YEDec 1997,Auckland,Holiday / vacation,Germany,100130153.5,26974
19,1997,4,YEDec 1997,Auckland,Holiday / vacation,Japan,457274631.6,114330
20,1997,4,YEDec 1997,Auckland,Holiday / vacation,"Korea, Republic of",158228308.5,81217
21,1997,4,YEDec 1997,Auckland,Holiday / vacation,Rest of Americas,31464829.72,8884
22,1997,4,YEDec 1997,Auckland,Holiday / vacation,Rest of Asia,227773469.9,74111
23,1997,4,YEDec 1997,Auckland,Holiday / vacation,Rest of Europe,123930063,39218
24,1997,4,YEDec 1997,Auckland,Holiday / vacation,Rest of Oceania,42129077.97,21538
25,1997,4,YEDec 1997,Auckland,Holiday / vacation,UK,209008574.6,65696
26,1997,4,YEDec 1997,Auckland,Holiday / vacation,USA,252919737.5,71782
27,1997,4,YEDec 1997,Auckland,Other,Africa and Middle East,22156488.26,836
28,1997,4,YEDec 1997,Auckland,Other,Australia,23542483.59,15867
29,1997,4,YEDec 1997,Auckland,Other,Canada,4666446.66,1964
30,1997,4,YEDec 1997,Auckland,Other,China,642483.51,211
31,1997,4,YEDec 1997,Auckland,Other,Germany,2499985.91,1012
32,1997,4,YEDec 1997,Auckland,Other,Japan,36894385.8,10080
33,1997,4,YEDec 1997,Auckland,Other,"Korea, Republic of",22167567.06,3689
34,1997,4,YEDec 1997,Auckland,Other,Rest of Americas,5823248.11,1766
35,1997,4,YEDec 1997,Auckland,Other,Rest of Asia,31933515.77,8814
36,1997,4,YEDec 1997,Auckland,Other,Rest of Europe,5752776.37,1784
37,1997,4,YEDec 1997,Auckland,Other,Rest of Oceania,14792105.67,9272
38,1997,4,YEDec 1997,Auckland,Other,UK,3698566.79,2547
39,1997,4,YEDec 1997,Auckland,Other,USA,15278485.58,5183
40,1997,4,YEDec 1997,Auckland,Visiting friends / relatives,Africa and Middle East,27433604.93,8896
41,1997,4,YEDec 1997,Auckland,Visiting friends / relatives,Australia,137384315.3,76300
42,1997,4,YEDec 1997,Auckland,Visiting friends / relatives,Canada,18447475.48,5181
43,1997,4,YEDec 1997,Auckland,Visiting friends / relatives,China,3424696.68,917
44,1997,4,YEDec 1997,Auckland,Visiting friends / relatives,Germany,16320118.3,2284
45,1997,4,YEDec 1997,Auckland,Visiting friends / relatives,Japan,14299523.82,2517
46,1997,4,YEDec 1997,Auckland,Visiting friends / relatives,"Korea, Republic of",21622547.36,6546
47,1997,4,YEDec 1997,Auckland,Visiting friends / relatives,Rest of Americas,159179.66,424
48,1997,4,YEDec 1997,Auckland,Visiting friends / relatives,Rest of Asia,89445115.87,20422
49,1997,4,YEDec 1997,Auckland,Visiting friends / relatives,Rest of Europe,54862297.47,8150
50,1997,4,YEDec 1997,Auckland,Visiting friends / relatives,Rest of Oceania,66880929.31,24616
51,1997,4,YEDec 1997,Auckland,Visiting friends / relatives,UK,146930242.3,37331
52,1997,4,YEDec 1997,Auckland,Visiting friends / relatives,USA,27210625.33,8498
53,1997,4,YEDec 1997,Christchurch,Business,Africa and Middle East,2304932.31,1242
54,1997,4,YEDec 1997,Christchurch,Business,Australia,15801298.5,9157
55,1997,4,YEDec 1997,Christchurch,Business,Canada,,
56,1997,4,YEDec 1997,Christchurch,Business,China,545745.11,399
57,1997,4,YEDec 1997,Christchurch,Business,Germany,933900.42,408
58,1997,4,YEDec 1997,Christchurch,Business,Japan,2808750.04,1450
59,1997,4,YEDec 1997,Christchurch,Business,"Korea, Republic of",444690.96,376
60,1997,4,YEDec 1997,Christchurch,Business,Rest of Americas,,
61,1997,4,YEDec 1997,Christchurch,Business,Rest of Asia,2354555.72,1070
62,1997,4,YEDec 1997,Christchurch,Business,Rest of Europe,2800136.27,832
63,1997,4,YEDec 1997,Christchurch,Business,Rest of Oceania,,
64,1997,4,YEDec 1997,Christchurch,Business,UK,2698050.23,1493
65,1997,4,YEDec 1997,Christchurch,Business,USA,5466987.07,2034
66,1997,4,YEDec 1997,Christchurch,Holiday / vacation,Africa and Middle East,20053758.59,8520
67,1997,4,YEDec 1997,Christchurch,Holiday / vacation,Australia,174742593.4,62986
68,1997,4,YEDec 1997,Christchurch,Holiday / vacation,Canada,11657743.16,4392
69,1997,4,YEDec 1997,Christchurch,Holiday / vacation,China,2561366.92,571
70,1997,4,YEDec 1997,Christchurch,Holiday / vacation,Germany,43677438.16,10207
71,1997,4,YEDec 1997,Christchurch,Holiday / vacation,Japan,27474749.75,10767
72,1997,4,YEDec 1997,Christchurch,Holiday / vacation,"Korea, Republic of",5254019.58,3353
73,1997,4,YEDec 1997,Christchurch,Holiday / vacation,Rest of Americas,6181408.04,1690
74,1997,4,YEDec 1997,Christchurch,Holiday / vacation,Rest of Asia,85287095.5,28841
75,1997,4,YEDec 1997,Christchurch,Holiday / vacation,Rest of Europe,57280762.36,17723
76,1997,4,YEDec 1997,Christchurch,Holiday / vacation,Rest of Oceania,3633427.73,2167
77,1997,4,YEDec 1997,Christchurch,Holiday / vacation,UK,50976111.67,16048
78,1997,4,YEDec 1997,Christchurch,Holiday / vacation,USA,75579487.69,25084
79,1997,4,YEDec 1997,Christchurch,Other,Africa and Middle East,,
80,1997,4,YEDec 1997,Christchurch,Other,Australia,12033465.46,7961
81,1997,4,YEDec 1997,Christchurch,Other,Canada,,
82,1997,4,YEDec 1997,Christchurch,Other,China,,
83,1997,4,YEDec 1997,Christchurch,Other,Germany,,
